N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,mcnemar_reject_rate,stratified_reject_rate,mcnemar_se,stratified_se,mcnemar_var_mean,stratified_var_mean,var_ratio_mean,var_ratio_std,power_diff,n_sim,part,part_name,effect_type,ab_squared,delta_acc_true,expected_disc_count
500,250,250,1.0,0.5,0.5,0.05,-0.05,0.05056,0.05218,0.0009798335205533641,0.000994557666503054,0.0010000983199999999,0.00099114123168,1.0090828679580113,0.007656152985485319,0.0016199999999999964,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
500,250,250,1.0,0.5,0.5,0.1,-0.1,0.0487,0.05194,0.0009625830873228555,0.0009923934340774327,0.0010000633600000001,0.00097603293952,1.024762016345598,0.013913558406870414,0.00324,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
500,250,250,1.0,0.5,0.5,0.15,-0.15,0.04466,0.05062,0.0009237476322026487,0.0009803837575153925,0.0010001548000000001,0.0009514145155199999,1.0515291867827063,0.02060978615242772,0.00596,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
500,250,250,1.0,0.5,0.5,0.2,-0.2,0.04026,0.05044,0.0008790805696863058,0.0009787318979168913,0.00100008944,0.0009161918182400001,1.0920931698688976,0.028336161765569388,0.010180000000000002,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
500,250,250,1.0,0.5,0.5,0.25,-0.25,0.0372,0.05278,0.0008463587891668639,0.0009999427143591777,0.0009995994399999999,0.0008711567964800001,1.1482917077800034,0.03716716859037362,0.015580000000000004,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
1000,500,500,1.0,0.5,0.5,0.0,-0.0,0.05106,0.05168,0.000984407196235379,0.0009900421970805084,0.00050014092,0.0004991432892,1.0020023250869643,0.0020243041562280663,0.0006199999999999956,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
1000,500,500,1.0,0.5,0.5,0.05,-0.05,0.04976,0.05098,0.0009724602038129889,0.0009836771787532738,0.0004999361,0.00049643493564,1.0070709023689013,0.004942086686446503,0.0012199999999999989,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
1000,500,500,1.0,0.5,0.5,0.1,-0.1,0.04892,0.0519,0.0009646432874384188,0.000992032156736867,0.0005001627,0.0004891460026,1.0225903879286145,0.009502997902404439,0.0029800000000000035,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
1000,500,500,1.0,0.5,0.5,0.15,-0.15,0.0449,0.05048,0.0009261100366587115,0.0009790992758653232,0.0005000858,0.00047661944344,1.0493784888757625,0.014363570077367523,0.005579999999999995,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
1000,500,500,1.0,0.5,0.5,0.2,-0.2,0.04112,0.05092,0.0008880219096396213,0.0009831292244664482,0.00049995266,0.0004590309218,1.0894169924382293,0.01995927003923175,0.009800000000000003,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
1000,500,500,1.0,0.5,0.5,0.25,-0.25,0.03512,0.04982,0.0008232446246408171,0.0009730155969972938,0.0004998989400000001,0.00043655202996,1.1455302356430557,0.026044136340074867,0.014700000000000005,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
2000,1000,1000,1.0,0.5,0.5,0.0,-0.0,0.04896,0.04916,0.0009650172889642962,0.0009668846301395012,0.000249994495,0.00024974506879499997,1.0009996024857168,0.0009996608514894804,0.00020000000000000573,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
2000,1000,1000,1.0,0.5,0.5,0.05,-0.05,0.05042,0.05126,0.0009785481449576204,0.0009862293080212126,0.00025003230500000005,0.000248536212585,1.0060280440864624,0.00333252067247005,0.0008400000000000005,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
2000,1000,1000,1.0,0.5,0.5,0.1,-0.1,0.0477,0.05018,0.0009531496209934724,0.0009763397728250141,0.00024997576000000004,0.00024473292482000004,1.0214550012619474,0.006562869456389471,0.002480000000000003,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
2000,1000,1000,1.0,0.5,0.5,0.15,-0.15,0.04342,0.04874,0.0009114241998103847,0.0009629580717767518,0.00024999577000000005,0.00023849348961000005,1.0483001341458333,0.010077646513357071,0.005319999999999998,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
2000,1000,1000,1.0,0.5,0.5,0.2,-0.2,0.04208,0.05144,0.0008978783169227331,0.0009878656426862917,0.000249990605,0.00022976375480499999,1.08816495682372,0.013996876629776766,0.00936,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
2000,1000,1000,1.0,0.5,0.5,0.25,-0.25,0.03648,0.05106,0.0008384415256891801,0.000984407196235379,0.000249992335,0.000218534246295,1.1441624672139852,0.01829937416853398,0.014580000000000003,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
